UPC,PriceNet_$,,UPC
0075678655562,10.09,,00075678655562
0888295084888,10.45,,00888295084888
0016351545923,13.22,,00016351545923
0889854630126,11.28,,00889854630126
0752830538009,15.42,,00752830538009
0602557848021,10,,00602557848021
5060525436048,8.25,,05060525436048
0744861117926,11.34,,00744861117926
4050538391084,10.08,,04050538391084
0075678656750,13.26,,00075678656750
0190758527024,7.15,,00190758527024
0889854281922,9.35,,00889854281922
0050087374976,9.31,,00050087374976
0715187947320,10.09,,00715187947320
0602567471639,11.39,,00602567471639
0192562404065,9.1,,00192562404065
0880882321925,8.25,,00880882321925
0602567288732,8.25,,00602567288732
0888750229212,15,,00888750229212
0602567655190,10.44,,00602567655190
0888295784436,11.26,,00888295784436
0081227159825,8.64,,00081227159825
0602557426915,9.71,,00602557426915
0731453463127,9.71,,00731453463127
0886977046827,4.84,,00886977046827
0602567639251,10.44,,00602567639251
0828765035125,4.48,,00828765035125
0602577012082,11.39,,00602577012082
0190758697222,9.35,,00190758697222
0731454052627,7.02,,00731454052627
0081227977078,6.23,,00081227977078
0028944648522,3.58,,00028944648522
0724352209323,3.5,,00724352209323
0093624904342,14.49,,00093624904342
0842812109119,8.25,,00842812109119
0792755581728,7.26,,00792755581728
0602557534320,6.67,,00602557534320
0602557922912,8.25,,00602557922912
0889030017628,17.71,,00889030017628
0008811115623,2.7,,00008811115623
0828765099622,5.94,,00828765099622
0050087244439,6.67,,00050087244439
0752830446113,12.36,,00752830446113
0889854723729,11.28,,00889854723729
0828768151624,5.94,,00828768151624
0075678386626,5.64,,00075678386626
0012414149015,14.99,,00012414149015
8024391084021,8.54,,08024391084021
0074646706022,4.49,,00074646706022
5099997374220,5,,05099997374220
0600753511060,23.1,,00600753511060
0888750087621,10.51,,00888750087621
0602547135551,10.44,,00602547135551
0075678666926,13.26,,00075678666926
0601215759822,5,,00601215759822
0889854491925,7.15,,00889854491925
0602547407382,8.25,,00602547407382
0075678683640,8.25,,00075678683640
0602557727937,23.1,,00602557727937
0075596059329,3.84,,00075596059329
0731454060325,16.29,,00731454060325
0093624943327,5.64,,00093624943327
0602547223807,8.25,,00602547223807
0602547573940,14.16,,00602547573940
0829619134728,10.73,,00829619134728
0602557188134,9.71,,00602557188134
4050538421712,10.08,,04050538421712
0190759025628,8.68,,00190759025628
